Statement	Count	# unique files
np.mean(train_scores, axis=1)	68	56
data.copy(deep=True)	68	26
"test_df[""Age""].mean()"	68	68
df_train.info()	67	53
"titanic_df.drop(""Survived"",axis=1)"	67	67
train['CategoricalFare'] = pd.qcut(train['Fare'], 4)	67	67
test_df['Family'].loc[test_df['Family'] == 0] = 0	67	67
titanic_df.join(person_dummies_titanic)	67	67
X_train.head()	66	62
test_df['Family'].loc[test_df['Family'] > 0] = 1	66	66
titanic_df.drop(['Person'],axis=1,inplace=True)	66	66
train_df['Survived']	66	58
np.mean(test_scores, axis=1)	66	55
"test_df[""Age""][np.isnan(test_df[""Age""])] = rand_2"	66	66
train.head(5)	66	43
train.shape	66	65
np.std(test_scores, axis=1)	66	55
test_df['Age']    = test_df['Age'].astype(int)	66	66
test_df.drop(['Sex'],axis=1,inplace=True)	66	66
"titanic_df[""Age""].mean()"	65	65
test_df['Person']    = test_df[['Age','Sex']].apply(get_person,axis=1)	65	65
titanic_df['Person'] = titanic_df[['Age','Sex']].apply(get_person,axis=1)	65	65
scores.mean()	65	31
test_df.drop(['SibSp','Parch'], axis=1)	65	65
titanic_df.drop(['Sex'],axis=1,inplace=True)	65	65
test_df.drop(['Pclass'],axis=1,inplace=True)	65	65
titanic_df.drop(['Pclass'],axis=1,inplace=True)	65	65
dataset['Title'] = dataset['Title'].replace(['Lady', 'Countess','Capt', 'Col','Don', 'Dr', 'Major', 'Rev', 'Sir', 'Jonkheer', 'Dona'], 'Rare')	64	64
row['Title'] == 'Master':	64	22
row['Title'] == 'Miss':	64	22
titanic_df['Family'].loc[titanic_df['Family'] == 0] = 0	64	64
titanic_df['Family'].loc[titanic_df['Family'] > 0] = 1	64	64
titanic_df['Age'] = titanic_df['Age'].astype(int)	64	64
predictions.append(1)	64	18
titanic_df['Fare'] = titanic_df['Fare'].astype(int)	64	64
test_df['Fare']    = test_df['Fare'].astype(int)	64	64
"titanic_df[""Age""][np.isnan(titanic_df[""Age""])] = rand_1"	64	64
"titanic_df[""Age""].std()"	64	64
"titanic_df['Family'] =  titanic_df[""Parch""] + titanic_df[""SibSp""]"	63	63
"tab.div(tab.sum(1).astype(float), axis=0).plot(kind=""bar"", stacked=True)"	63	11
"titanic_df[""Age""].isnull().sum()"	63	63
row['Title'] == 'Mrs':	63	21
"test_df['Family'] =  test_df[""Parch""] + test_df[""SibSp""]"	63	63
row['Title'] == 'Mr':	63	21
train.drop(['Survived'], axis=1)	63	63
titanic_df.drop(['SibSp','Parch'], axis=1)	63	63
df_train['Survived']	62	47
"titanic_df[[""Embarked"", ""Survived""]].groupby(['Embarked'],as_index=False).mean()"	62	61
test_df.drop(['Embarked'], axis=1,inplace=True)	62	62
"titanic_df[[""Person"", ""Survived""]].groupby(['Person'],as_index=False).mean()"	62	62
person_dummies_test.drop(['Male'], axis=1, inplace=True)	61	61
test_df.drop(['Name','Ticket'], axis=1)	61	61
"titanic_df.drop(""Cabin"",axis=1,inplace=True)"	61	61
person_dummies_titanic.drop(['Male'], axis=1, inplace=True)	61	61
"titanic_df[""Fare""][titanic_df[""Survived""] == 0]"	61	61
pclass_dummies_titanic.drop(['Class_3'], axis=1, inplace=True)	61	61
"titanic_df[""Fare""][titanic_df[""Survived""] == 1]"	61	61
row['Title'] == 'Officer':	61	20
pclass_dummies_test.drop(['Class_3'], axis=1, inplace=True)	61	61
titanic_df.drop(['Embarked'], axis=1,inplace=True)	61	61
titanic_df.drop(['PassengerId','Name','Ticket'], axis=1)	60	60
"test_df.drop(""Cabin"",axis=1,inplace=True)"	60	60
titanic_df['Age'].dropna().astype(int).hist(bins=70, ax=axis1)	60	60
titanic_df['Fare'].plot(kind='hist', figsize=(15,3),bins=100, xlim=(0,50))	60	60
"titanic_df[[""Age"", ""Survived""]].groupby(['Age'],as_index=False).mean()"	60	60
titanic_df['Age'].hist(bins=70, ax=axis2)	60	60
"titanic_df[[""Family"", ""Survived""]].groupby(['Family'],as_index=False).mean()"	59	59
data.describe()	59	46
df_train.describe()	58	51
test.describe()	58	54
params['random_state'] = seed	58	58
base_predictions_train.head()	58	58
embark_dummies_titanic.drop(['S'], axis=1, inplace=True)	57	57
np.empty((NFOLDS, ntest))	56	55
train.drop('Survived', axis=1)	56	55
embark_dummies_test.drop(['S'], axis=1, inplace=True)	56	56
train.corr()	54	50
oof_test_skf.mean(axis=0)	54	53
titanic.corr()	54	54
"train['Has_Cabin'] = train[""Cabin""].apply(lambda x: 0 if type(x) == float else 1)"	53	53
"test['Has_Cabin'] = test[""Cabin""].apply(lambda x: 0 if type(x) == float else 1)"	53	53
train.append(test)	52	52
train['Survived'].ravel()	52	52
train_data.info()	51	43
test['Name_length'] = test['Name'].apply(len)	51	51
train['Name_length'] = train['Name'].apply(len)	51	51
mpl.style.use( 'ggplot' )	50	50
X.head()	50	45
pylab.rcParams[ 'figure.figsize' ] = 8 , 6	49	49
titanic.info()	49	31
embarked.head()	49	49
test.copy()	49	32
train.columns.values	49	49
full_X[ 0:891 ]	49	44
ticket.replace( '/' , '' )	48	48
ticket.replace( '.' , '' )	48	48
title[ 'Title' ] = title.Title.map( Title_Dictionary )	47	47
combined.info()	46	19
"StackingSubmission.to_csv(""StackingSubmission.csv"", index=False)"	46	46
imp.sort_values( [ 'Importance' ] , ascending = True )	46	46
train.append( test , ignore_index = True )	46	46
l.append( len( pd.value_counts( df[ x ] ) ) )	45	45
var.append( x )	45	45
predictions.append(0)	45	16
t.append( df[ x ].dtypes )	45	45
pclass.head()	45	45
all_data.head()	45	13
levels.sort_values( by = 'Levels' , inplace = True )	45	45
family[ 'FamilySize' ] = full[ 'Parch' ] + full[ 'SibSp' ] + 1	45	45
my_submission.to_csv('submission.csv', index=False)	44	41
title.head()	44	44
family.head()	44	44
feature_dataframe['mean'] = feature_dataframe.mean(axis= 1) # axis = 1 computes the mean row-wise	44	44
test.to_csv( 'titanic_pred.csv' , index = False )	44	44
full_X.head()	44	42
train_data.describe()	44	41
title[ 'Title' ] = full[ 'Name' ].map( lambda name: name.split( ',' )[1].split( '.' )[0].strip() )	44	44
family[ 'Family_Single' ] = family[ 'FamilySize' ].map( lambda s : 1 if s == 1 else 0 )	43	43
feature_dataframe['mean'].values	43	43
train.values # Creates an array of the train data	43	43
feature_dataframe['mean'].values,	43	43
test.values # Creats an array of the test data	42	42
train.values	42	40
family[ 'Family_Small' ]  = family[ 'FamilySize' ].map( lambda s : 1 if 2 <= s <= 4 else 0 )	42	42
ticket[ 'Ticket' ] = full[ 'Ticket' ].map( cleanTicket )	42	42
family[ 'Family_Large' ]  = family[ 'FamilySize' ].map( lambda s : 1 if 5 <= s else 0 )	42	42
test_data.info()	42	36
cabin[ 'Cabin' ] = cabin[ 'Cabin' ].map( lambda c : c[0] )	41	41
ticket.head()	41	41
imputed.head()	41	41
imputed[ 'Fare' ] = full.Fare.fillna( full.Fare.mean() )	41	41
test.values	41	41
cabin.head()	41	41
train.copy()	41	37
feature_dataframe.head(3)	40	40
base_predictions_train.astype(float).corr().values ,	40	40
row['PassengerId']	40	22
ticket.shape	40	40
imputed[ 'Age' ] = full.Age.fillna( full.Age.mean() )	40	40
row['Title'] == 'Royalty':	40	20
cabin[ 'Cabin' ] = full.Cabin.fillna( 'U' )	40	40
df.describe()	39	36
train.dtypes	38	31
X.shape	38	24
test['PassengerId'],	38	28
grp_df.iterrows():	37	19
mpl.style.use('ggplot')	36	36
df['Survived']	35	31
train.drop('Cabin',axis=1,inplace=True)	35	35
"test[""PassengerId""]"	35	31
grp_df.drop(ind)['Survived'].min()	35	18
grp_df.drop(ind)['Survived'].max()	35	18
output.to_csv('submission.csv', index=False)	34	33
data['Survived']	34	34
cm.max() / 2.	33	32
"submission.to_csv(""submission.csv"", index=False)"	33	33
df_test.info()	33	25
train_df.isnull().sum()	33	24
df.isnull().sum()	33	29
train_data['Survived']	32	30
test_data.iterrows():	32	18
itertools.product(range(cm.shape[0]), range(cm.shape[1])):	32	31
features['importance'] = clf.feature_importances_	31	30
combined.shape	31	18
np.mean(scores)	31	13
log.append(log_entry)	31	30
data.isnull().sum()	31	25
test['Fare'].fillna(train['Fare'].mean(), inplace = True)	31	17
"titanic_test[""PassengerId""],"	31	27
output.head()	30	30
le.transform(df_test[feature])	30	29
dataset.loc[ dataset['Age'] > 64, 'Age']                           = 4	30	30
traindf.head()	30	10
le.transform(df_train[feature])	30	29
train.dropna(inplace=True)	30	30
"train[""Embarked""] = train[""Embarked""].fillna(""S"")"	29	29
cm.astype('float') / cm.sum(axis=1)[:, np.newaxis]	29	28
train.tail()	29	24
model.add(Dropout(0.5))	29	16
data_raw.describe(include = 'all')	29	16
predictions.append(test_predictions)	29	22
dfTrain['Survived']	29	5
"test.drop(""PassengerId"", axis=1).copy()"	29	29
"df_test[""PassengerId""],"	29	23
train[['Title', 'Survived']].groupby(['Title'], as_index=False).mean()	29	29
MLA_compare.loc[row_index, 'MLA Name'] = MLA_name	28	27
dataset.info()	28	14
combined['Title'] = combined['Name'].map(lambda name:name.split(',')[1].split('.')[0].strip())	28	28
train_ch['Survived'] = y_train	28	2
X_train.copy()	27	11
training.head()	27	10
df.corr(),	27	27
df_output['Survived'] = output	27	26
MLA_compare.loc[row_index, 'MLA Test Accuracy Mean'] = cv_results['test_score'].mean()	27	26
data_train['Survived']	27	27
scaler.transform(X_test)	27	23
MLA_compare.loc[row_index, 'MLA Time'] = cv_results['fit_time'].mean()	27	26
pylab.rcParams['figure.figsize'] = 12,8	27	27
dataset.loc[ dataset['Age'] > 64, 'Age'] = 4 ;	27	27
test_df['PassengerId']	27	27
df.Fare.fillna(-0.5)	27	26
MLA_compare.loc[row_index, 'MLA Train Accuracy Mean'] = cv_results['train_score'].mean()	27	26
dataset.loc[ dataset['Age'] > 64, 'Age'] ;	26	26
np.mean(xval)	26	26
train['Embarked'].value_counts()	26	24
plt.axes()	26	11
train['Title'].value_counts()	26	24
df.Age.fillna(-0.5)	26	25
title_mapping.items():	26	16
dataset['FareBin'] = pd.qcut(dataset['Fare'], 4)	26	26
combined.reset_index(inplace=True)	26	26
"train.drop(""Survived"", axis=1)"	26	26
X_test.head()	26	25
train.drop(['Survived', 'PassengerId'], axis=1)	26	26
MLA_compare.loc[row_index, 'MLA Parameters'] = str(alg.get_params())	26	26
ticket.replace('/','')	26	26
train_df.corr()	26	20
"submit.to_csv(""../working/submit.csv"", index=False)"	26	26
combined['Ticket'] = combined['Ticket'].map(cleanTicket)	26	26
ticket.replace('.','')	26	26
df.dtypes	25	16
dataset['FareBin_Code'] = label.fit_transform(dataset['FareBin'])	25	25
train.sample(5)	25	22
test.drop('Cabin',axis=1,inplace=True)	25	25
combined['FamilySize'] = combined['Parch'] + combined['SibSp'] + 1	25	25
combined['Title'] = combined.Title.map(Title_Dictionary)	25	25
test.head(10)	25	22
outcomes.append(accuracy)	25	25
dataset['AgeBin_Code'] = label.fit_transform(dataset['AgeBin'])	25	25
np.mean(outcomes)	25	25
"train[""Survived""].values"	25	22
model.transform(test)	25	25
X_test.copy()	24	10
train_data.head(10)	24	23
df.corr()	24	23
dfPrediction.to_csv()	24	2
MLA_compare.sort_values(by = ['MLA Test Accuracy Mean'], ascending = False, inplace = True)	24	23
features['feature'] = train.columns	24	23
dataset['Age'].fillna(dataset['Age'].median(), inplace = True)	24	23
model.transform(train)	24	24
dataset['Title_Code'] = label.fit_transform(dataset['Title'])	24	24
train.astype(float).corr(),linewidths=0.1,vmax=1.0,	24	24
dataset['Sex_Code'] = label.fit_transform(dataset['Sex'])	23	23
train.drop('Survived', axis = 1)	23	21
dataset['Fare'].fillna(dataset['Fare'].median(), inplace = True)	23	23
data.shape	23	21
df_test['Survived'] = Y_pred	23	12
df_train.isnull().sum()	23	18
df.Cabin.apply(lambda x: x[0])	23	22
"df_train[""Survived""]"	23	16
titanic_train.info()	23	16
values[0]	23	16
df.iterrows():	23	17
plt.style.use('fivethirtyeight')	23	23
titanic.isnull().sum()	23	19
matplotlib.style.use('ggplot')	23	23
train_dataset.head()	23	10
train_data.isnull().sum()	22	16
data.copy(deep = True)	22	10
k_scores.append(score)	22	22
dataset.loc[ dataset['Age'] > 64, 'Age'] = 4	22	22
Model.loc[index, 'Predict'] = 0	22	11
Model.loc[index, 'Predict'] = 1	22	11
dataset['Embarked'] = dataset['Embarked'].map(embarked_mapping)	22	22
dfFull.loc[1:891,:]	22	2
df.Cabin.fillna('N')	22	21
dfFull.loc[892:,:]	22	2
train.head(2)	22	14
dataset['Sex'] = dataset['Sex'].map(sex_mapping)	22	22
MLA_compare.loc[row_index, 'MLA Test Accuracy 3*STD'] = cv_results['test_score'].std()*3   #let's know the worst that can happen!	22	22
dataset['FamilySize'] = dataset ['SibSp'] + dataset['Parch'] + 1	22	22
"dataset[""Ticket""].head()"	22	13
dataset['AgeBin'] = pd.cut(dataset['Age'].astype(int), 5)	22	22
dataset['Embarked_Code'] = label.fit_transform(dataset['Embarked'])	22	22
plt.style.use('ggplot')	21	19
data_copy.loc[data_copy['Embarked'] == 'C', 'Embarked'] = 1	21	21
"train_data[""Survived""]"	21	20
full.head()	21	13
dataset['Cabin'] = dataset['Cabin'].map(cabin_mapping)	21	21
classifiers.append(KNeighborsClassifier())	21	21
ax[0].set_xticks(x1)	21	17
model.add(Dense(1, activation='sigmoid'))	21	21
data_copy.loc[data_copy['Embarked'] == 'Q', 'Embarked'] = 2	21	21
df.drop(['Ticket', 'Name', 'Embarked'], axis=1)	21	20
train.drop(['Sex','Embarked','Name','Ticket'],axis=1,inplace=True)	21	21
df.shape	21	15
combined.drop('Pclass',axis=1,inplace=True)	21	21
train_data.copy()	21	6
dataset['IsAlone'] = 1 #initialize to yes/1 is alone	21	21
dataset.isnull().sum()	21	18
cv_std.append(cv_result.std())	21	21
titanic_train.head()	21	16
df.head(5)	20	11
"train[""Age""] = train[""Age""].fillna(train[""Age""].median())"	20	20
dataset['Embarked'].fillna(dataset['Embarked'].mode()[0], inplace = True)	20	20
row['Sex']=='male' and row['Pclass'] == 2:	20	20
ax[0].set_title('Survived')	20	20
train['Sex'] = train['Sex'].map(sex_mapping)	20	20
titanicANDtest_df.head(5)	20	10
"dataset['Title'] = dataset['Name'].str.split("", "", expand=True)[1].str.split(""."", expand=True)[0]"	20	20
row['Sex']=='male' and row['Pclass'] == 1:	20	20
y_all.values[train_index], y_all.values[test_index]	20	20
dataset['IsAlone'].loc[dataset['FamilySize'] > 1] = 0 # now update to no/0 if family size is greater than 1	20	20
train['Age'].mean()	20	20
cv_means.append(cv_result.mean())	20	20
train.drop('Survived',axis=1)	20	20
sc.transform(X_test)	20	15
X_all.values[train_index], X_all.values[test_index]	20	20
y.shape[0]	20	4
row['Sex']=='male' and row['Pclass'] == 3:	20	20
data_test.values	20	18
data1_dummy.head()	20	20
"Ticket.append(""X"")"	20	20
train['Age'] = train[['Age','Pclass']].apply(impute_age,axis=1)	20	20
data_copy.loc[data_copy['Embarked'] == 'S', 'Embarked'] = 0	20	20
ax[1].set_title('Survived')	20	19
i['Age'] = data.transform(lambda x: x.fillna(x.mean()))	19	19
train.Survived.values	19	14
train.isnull().any()	19	13
test_data.describe()	19	16
data_copy.loc[data_copy['Sex'] == 'male', 'Sex'] = 1	19	19
train['Cabin_num']	19	16
ax[0].set_ylabel('')	19	19
train.drop(features_drop, axis=1)	19	19
row['Sex']=='female' and row['Pclass'] == 2:	19	19
df_test.describe()	19	18
train['Age'].isnull().sum()	19	14
test['Sex'] = test['Sex'].map(sex_mapping)	19	19
"test[""Age""] = test[""Age""].fillna(test[""Age""].median())"	19	18
row['Sex']=='female' and row['Pclass'] == 1:	19	19
"Ticket.append(i.replace(""."","""").replace(""/"","""").strip().split(' ')[0]) #Take prefix"	19	19
row['Sex']=='female' and row['Pclass'] == 3:	19	19
data_train.values	19	17
x_train.head()	18	10
"dataset[""Fare""] = dataset[""Fare""].map(lambda i: np.log(i) if i > 0 else 0)"	18	17
train.groupby(['Name_Title', 'Pclass'])['Age']	18	17
dataset['Pclass'].hist()	18	17
ax[1].set_yticks(range(0,110,10))	18	18
train_df.copy()	18	17
dataset['Cabin'] = dataset['Cabin'].str[:1]	18	18
np.all(valid_mask):	18	9
row['Sex'] == 'female':	18	14
data_train.info()	18	15
test.drop(features_drop, axis=1)	18	18
features.sort_values(by=['importance'], ascending=True, inplace=True)	18	18
train_df.shape	18	15
ax[0].set_ylabel('Count')	18	17
classifiers.append(SVC(random_state=random_state))	18	18
data_test['PassengerId']	18	18
train.describe(include=['O'])	18	18
X.copy()	18	10
ax[1].set_xticks(x2)	18	16
data_copy.loc[data_copy['Sex'] == 'female', 'Sex'] = 0	18	18
survived_train.values	18	16
i['Age_Null_Flag'] = i['Age'].apply(lambda x: 1 if pd.isnull(x) else 0)	18	18
train.drop('Survived',axis=1),	18	18
data1.info()	18	18
grid_result.cv_results_['std_test_score']	17	8
i['Cabin']	17	17
i['Name']	17	17
features.set_index('feature', inplace=True)	17	17
pd.isnull(age):	17	16
titanic_test.head()	17	11
"train[""Survived""] = train[""Survived""].astype(int)"	17	17
i['Cabin_Letter'] = i['Cabin'].apply(lambda x: str(x)[0])	17	17
data_val.info()	17	17
grid_result.cv_results_['mean_test_score']	17	8
df['FamilySize'] = df['SibSp'] + df['Parch'] + 1	17	17
"test[""Fare""] = test[""Fare""].fillna(test[""Fare""].median())"	17	17
classifiers.append(LogisticRegression(random_state = random_state))	17	17
combined['Cabin'] = combined['Cabin'].map(lambda c : c[0])	17	17
grid_result.cv_results_['params']	17	8
test_predictions.astype(int)	17	13
i['Embarked'] = i['Embarked'].fillna('S')	17	17
names.append(name)	17	13
ax[0].set_title('Survived vs Sex')	17	17
train['Survived'].values	17	16
train['Ticket_Len'] = train['Ticket'].apply(lambda x: len(x))	17	17
ax[0].set_yticks(range(0,110,10))	17	17
data1['Title'] = data1['Title'].apply(lambda x: 'Misc' if title_names.loc[x] == True else x)	17	17
train['Embarked'] = train['Embarked'].fillna('S')	17	17
test_data.isnull().sum()	17	11
train1_x_bin.head()	17	17
combined.drop('Name',axis=1,inplace=True)	17	17
combined.drop('Title',axis=1,inplace=True)	17	17
train['Ticket_Lett'] = train['Ticket'].apply(lambda x: str(x)[0])	17	17
scaler.transform(X_train)	17	17
test['Embarked'] = test['Embarked'].map(embarked_mapping)	17	17
sorted_important_features.append(predictors[i])	17	9
train['Embarked'] = train['Embarked'].map(embarked_mapping)	17	17
df_full.head()	17	3
test.drop('Name', axis=1, inplace=True)	17	17
"holdout[""PassengerId""]"	17	11
data1.drop(drop_column, axis=1, inplace = True)	17	17
df['Lname'] = df.Name.apply(lambda x: x.split(' ')[0])	17	17
i['Name_Len'] = i['Name'].apply(lambda x: len(x))	17	17
i['Parch']	17	17
i['SibSp']	17	17
train['Name']	16	15
training_data.info()	16	16
plt.style.use('seaborn')	16	6
dataset.loc[ dataset['Fare'] > 100, 'Fare'] = 3	16	16
test['Title'].value_counts()	16	15
dataset['Age'].hist()	16	16
test_df.copy()	16	16
test_data[['PassengerId', 'Survived']].to_csv('submission.csv', index=False)	16	16
test_data['Survived'] = predictions	16	16
dataset.loc[ dataset['Age'] <= 16, 'Age'] = 0,	16	16
test_df.isnull().sum()	16	14
full.isnull().sum()	16	11
dataset['FamilySize'] = dataset['FamilySize'].map(family_mapping)	16	16
ax[0].set_title('Pclass and Age vs Survived')	16	16
combined['Sex'] = combined['Sex'].map({'male':1,'female':0})	16	16
std.append(cv_result.std())	16	16
i['Cabin_num1'].replace('an', np.NaN, inplace = True)	16	16
test['Age'].isnull().sum()	16	12
df['NamePrefix'] = df.Name.apply(lambda x: x.split(' ')[1])	16	16
i['Cabin_num'] = pd.qcut(train['Cabin_num1'],3)	16	16
"df[""Age""] = df[""Age""].fillna(-0.5)"	16	16
i['Ticket']	16	16
data.iterrows():	16	6
data_raw.copy(deep = True)	16	15
"train.describe(include=""all"")"	16	13
classifiers.append(RandomForestClassifier(random_state=random_state))	16	16
i['Name_Title'] = i['Name'].apply(lambda x: x.split(',')[1]).apply(lambda x: x.split()[0])	16	16
"test.describe(include=""all"")"	16	15
dataset.loc[(dataset['Fare'] > 30) & (dataset['Fare'] <= 100), 'Fare'] = 2,	16	16
test['Cabin_num']	16	16
