Statement	Count	# unique files
full <- bind_rows(train, test)	5	5
d = sum(ans_logit ==0 & f.survived == 0)	5	5
b = sum(ans_dt ==1 & f.survived == 0)	5	5
confusion_matrix_train <- table(train$Survived, train_pred)	5	1
ans_svm[i] = as.integer(svm.fitted[[i]]) - 1	5	5
table(embarked)	5	5
"s = strsplit(cabin[i],"" "")"	5	5
n = length(full$Survived)	5	5
test$passengerid,	5	1
table(ans_svm)	5	5
mean(ans_logit == train$Survived)	5	5
b = sum(ans_logit ==1 & f.survived == 0)	5	5
c = sum(ans_dt ==0 & f.survived == 1)	5	5
full$Embarked	5	5
my_solution <- data.frame(PassengerId = test$PassengerId, Survived = my_prediction)	5	4
summary(results)	5	5
test$PassengerId	5	4
nrow(test)	5	5
summarise(count = n())	5	2
full$Cabin	5	5
cabin[i] = length(s[[1]])	5	5
age[i] = sample(na.omit(full$Age),1)	5	5
full$Fare[892:1309]	5	5
table(ans_logit)	5	5
ans_svm = rep(NA,891)	5	5
a = sum(ans_dt ==1 & f.survived == 1)	5	5
n = length(cabin)	5	5
d = sum(ans_dt ==0 & f.survived == 0)	5	5
table(ans_dt)	5	5
mod.dat = data.table(train)	5	1
c = sum(ans_logit ==0 & f.survived == 1)	5	5
title = rep(NA,n)	5	5
d <- data.frame(Embarked = embarked[1:891], Survived = train$Survived)	5	5
ans_dt = rep(NA,891)	5	5
a = sum(ans_logit ==1 & f.survived == 1)	5	5
a = sum(ans_svm ==1 & f.survived == 1)	5	5
test$Pclass <- as.factor(test$Pclass)	4	4
guides(color = guide_legend(override.aes = list(size = 10, linetype = 1), nrow = 2))	4	1
test$Embarked <- as.factor(test$Embarked)	4	4
combined[892:1309,]	4	4
test$Survived[test$Sex == 'female'] <- 1	4	3
filter(!is.na(Age)) %>%	4	3
combi[892:1309,]	4	4
train_full[DEV_ind,]	4	2
select(survived, age, pclass, sex, sibsp, fare, parch) %>%	4	1
X$Survived	4	1
full[1044,]	4	4
dat[, y := Ytrain]	4	1
mod.dat = data.table(test)	4	1
full_data[1:891,]	4	4
for(j in c(1,2,3))	4	1
"form = paste(""y ~"", rhs)"	4	1
dat = data.table(Xtrain)	4	1
ans_svm_predict = rep(NA,418)	4	4
"preProc = c(""center"", ""scale"", ""knnImpute""),"	4	1
Sex = factor(Sex),	4	2
DEV_ind=sample(nrow(train_full), floor(nrow(train_full)/2)) # gets indices of half the training data	4	2
ynew = as.numeric(predict(mod, newdata = data.table(newX))$posterior[,2])	4	1
x$pfare[which(x$Fare>10)]<-.6	4	1
cat(paste('We will infer their values for **embarkment** based on present data that we can imagine may be relevant: **passenger class** and **fare**. We see that they paid<b> $', full[c(62, 830), 'Fare'][[1]][1], '</b>and<b> $', full[c(62, 830), 'Fare'][[1]][2], '</b>respectively and their classes are<b>', full[c(62, 830), 'Pclass'][[1]][1], '</b>and<b>', full[c(62, 830), 'Pclass'][[1]][2], '</b>. So from where did they embark?'))	4	3
nrow(my_solution)	4	4
x$pfare[which(x$Fare>30)]<-1	4	1
print(model)	4	2
combi$Name <- as.character(combi$Name)	4	4
"mod.dat[, c(""Name"", ""Ticket"", ""Cabin"", ""PassengerId"") := NULL]"	4	1
combi[1:891,]	4	4
test$Survived <- rep(0, 418)	4	4
n = length(embarked)	4	4
options(warn=-1)	4	4
combined[1:891,]	4	4
x$pfare<-0	4	1
ans_svm_predict[i] = as.integer(svm_predict[[i]]) - 1	4	4
summary(train$Age)	4	4
select(Fare)	4	1
colSums(is.na(full))	4	2
train_full[-DEV_ind,]	4	2
table(full$Title)	4	2
combi$Title[combi$Title %in% c('Dona', 'Lady', 'the Countess', 'Jonkheer')] <- 'Lady'	4	4
"lastname = strsplit(full$Name[i],"", "")[[1]][2]"	4	4
table(ans_svm_predict)	4	4
summary(data)	4	3
grid.arrange(p1, p2, nrow = 1)	4	1
names(combo)	4	2
optimized_accuracy=sum(chose_SELF==TRUE)/length(chose_SELF)	4	2
full$PassengerId[is.na(full$Fare)]	4	4
data[!is.na(data$Age),]	4	4
mods = foreach(i = 1:nrow(doe)) %do%	4	1
New_Data[892:1309,]	3	2
input_df[1:500, ]	3	2
train_new_LeViet$Cabin <- substr(train_new_LeViet$Cabin,1,1)	3	2
test_new_Leviet$PassengerId	3	2
New_Data$Name <- as.character(New_Data$Name)	3	2
print(rf_model_val)	3	3
"train_new_LeViet$Cabin[train_new_LeViet$Cabin == """"] <- ""H"""	3	2
"test_new_Leviet$Cabin[test_new_Leviet$Cabin == """"] <- ""H"""	3	2
combi$Fare[1044] <- median(combi$Fare, na.rm=TRUE)	3	3
"combi$Embarked[c(62,830)] = ""S"""	3	3
New_Data$Title <- sub(' ', '', New_Data$Title)	3	2
traintest.data[1:891,]	3	1
ans_rf_val = rep(NA,311)	3	3
df$Survived <- factor(df$Survived, labels = c('No', 'Yes'))	3	3
output[, name := doe$name[i]]	3	1
sum(is.na(train$Age))	3	2
"train_new_LeViet$Cabin[train_new_LeViet$Cabin == ""T""] <- ""H"""	3	2
combined=combined[,-c(11,12,4,9)]	3	3
test_new_Leviet$Survived <- NULL	3	2
traintest.data[892:1309,]	3	1
data[1:train.stop,]	3	1
"X.all = data.table(train[,!""Survived""])"	3	1
dim(DstTrain)	3	3
combi$Title <- factor(combi$Title)	3	3
tmp[tmp$freq<10,1]	3	1
cm$table	3	3
full_data$Title <- gsub('(.*, )|(\\..*)', '', full_data$Name)	3	3
New_Data$Age[is.na(New_Data$Age)] <- predict(predicted_age, New_Data[is.na(New_Data$Age),])	3	2
New_Data$Title[New_Data$Title %in% c('Capt', 'Don', 'Major', 'Sir', 'Col', 'Jonkheer', 'Rev', 'Dr', 'Master')] <- 'Mr'	3	2
"test<-data.table(read.csv(""../input/test.csv""))"	3	3
"cat(""*************************"")"	3	3
actuals = as.numeric(as.character(Y))	3	1
X = as.matrix(X)	3	1
train_new_LeViet$Cabin <- factor(train_new_LeViet$Cabin)	3	2
combi$Embarked <- factor(combi$Embarked)	3	3
ChiSqTest$statistic,	3	3
table(full_data$Sex, full_data$Title)	3	2
New_Data$Title[New_Data$Title %in% c('Lady', 'the Countess', 'Mlle', 'Mee', 'Ms')] <- 'Miss'	3	2
combi$Title <- sapply(combi$Name, FUN=function(x) {strsplit(x, split='[,.]')[[1]][2]})	3	3
train$Child[train$Age < 18] <- 1	3	3
ans_rf_val[i] = as.integer(rf_model_val.fitted[[i]]) - 1	3	3
train$Embarked <- as.factor(train$Embarked)	3	3
LeViet_Solution <- data.frame(PassengerId = vector_passengerid, Survived = LeViet_prediction)	3	2
summary(df_train)	3	1
test[Sex=='male',gender:=0]	3	3
print(rf_model_train)	3	3
traintest.data <- bind_rows(train.data, test.data)	3	1
New_Data$Title[New_Data$PassengerId == 797] <- 'Mrs' # female doctor	3	2
group_by(Survived) %>%	3	3
actuals = as.numeric(as.character(train$Survived))	3	1
final[,.(PassengerId,Survived)]	3	3
test_new_Leviet$Cabin <- substr(test_new_Leviet$Cabin,1,1)	3	2
combi$FamilySize <- combi$SibSp + combi$Parch + 1	3	3
test_new_Leviet$Cabin <- factor(test_new_Leviet$Cabin)	3	2
full_data[892:1309,]	3	3
featureImportance <- data.frame(Feature=row.names(imp), Importance=imp[,1])	3	3
combined$Survived <- factor(combined$Survived)	3	3
test[Sex=='female',gender:=1]	3	3
table(data$Embarked)	3	2
dat[, y := Y]	3	1
d<-data.frame(PassengerId = test$PassengerId, Survived = ans_svm_predict)	3	3
test$Sex <- as.factor(test$Sex)	3	3
"raw_train <- read.csv(file=""../input/train.csv"", header=TRUE, sep="","", na.strings=c("""")) #891 reg"	3	2
final[V1>=0,Survived:=1]	3	3
table(ans_rf_val)	3	3
input_df[501:891, ]	3	2
summary(Titanic_data)	3	1
New_Data$family_size <- New_Data$SibSp + New_Data$Parch + 1	3	2
full_mod[581:891,]	3	3
test[153,]	3	2
vdf$Survived <- predict(model, vdf, na.action = na.pass)	3	3
"New_Data$Embarked[c(62,830)] = ""S"""	3	2
full$Sex <- as.factor(full$Sex)	3	3
fit$confusion	3	2
train[Sex=='male',gender:=0]	3	3
count = n(),	3	1
"full$deck[full$Pclass == 1] <- ""A"""	3	1
full$Title[full$Title == 'Ms'] <- 'Miss'	3	3
Ticket_Digit = nchar(Ticket),	3	2
data$Fare[which(is.na(data$Fare))]<-mean(data$Fare[which(!is.na(data$Fare))])	3	2
combined$Age=ifelse(is.na(combined$Age),median(na.omit(combined$Age)),combined$Age)	3	3
final<-cbind(test,predictOne)	3	3
full_mod[1:580,]	3	3
New_Data$Title <- factor(New_Data$Title)	3	2
nrow(combined)	3	3
mean(ans_rf_train == train$Survived)	3	3
summary(titanic)	3	2
"New_Data$Title <- sapply(New_Data$Name, FUN=function(x) {strsplit(x, split=""[,.]"")[[1]][2]})"	3	2
summary(train$Fare)	3	3
combined$Pclass <- factor(combined$Pclass)	3	3
filter(!is.na(Cabin_Deck_i2) & !is.na(Ticket_Digit) & !is.na(Title))	3	1
suppressMessages(attach(titanic))	3	1
summary(my_glm)	3	2
"df$Pclass <- factor(df$Pclass, labels = ""class"")"	3	3
full$Title[full$Title == 'Mlle'] <- 'Miss'	3	3
DstTrainTest$Survived <- as.factor(DstTrainTest$Survived)	3	3
final[V1<0,Survived:=0]	3	3
train[Sex=='female',gender:=1]	3	3
Sys.sleep(1)	3	3
New_Data[1:891,]	3	2
"data$Embarked[which(is.na(data$Embarked))]<-""S"""	3	2
"vdf$Pclass <- factor(vdf$Pclass, labels = ""class"")"	3	3
df <- cbind(df,tmp[,-1])	3	1
New_Data$Embarked <- factor(New_Data$Embarked)	3	2
combi$Title[combi$Title %in% c('Capt', 'Don', 'Major', 'Sir')] <- 'Sir'	3	3
summary(LeViet_Tree)	3	2
combined$Fare=ifelse(is.na(combined$Fare),median(na.omit(combined$Fare)),combined$Fare)	3	3
table(ans_rf_train)	3	3
fits = foreach(i = 1:length(mods)) %do%	3	1
colSums(is.na(combined))	3	3
New_Data$Title[New_Data$Title %in% c('Dona')] <- 'Mrs'	3	2
famIDs[famIDs$Freq <= 2,]	3	3
cm$byClass[['F1']]	3	3
ans_rf_train = rep(NA,580)	3	3
New_Data$Fare[1044] <-median(New_Data$Fare, na.rm = TRUE)	3	2
table(TitanicResult$Survived)	3	3
write.csv(vdf[, c('PassengerId', 'Survived')], file = 'submission.csv', row.names = FALSE)	3	3
print(fit.rf)	3	3
train$Title <- as.factor(train$Title)	3	2
"train<-data.table(read.csv(""../input/train.csv""))"	3	3
"submission_df <- test_df[, c(""PassengerId"", ""Survived"")]"	3	2
prop.table(table(train$Sex, train$Survived))	3	3
Predict_Class = ifelse(predict_Probs >= 0.5,1,0)	3	3
mean(ans_rf_val == valid$Survived)	3	3
"X.trim = data.table(X.all[, !c(""Sexmale.EmbarkedS"", ""Pclass3.Fare"")])"	3	1
"preProcess = c(""center"", ""scale""),"	3	1
combi$Title <- sub(' ', '', combi$Title)	3	3
vdf$Survived <- ifelse(vdf$Survived == 'Yes', 1, 0)	3	3
combined$Survived,	3	3
ans_rf_train[i] = as.integer(rf_model_train.fitted[[i]]) - 1	3	3
Y = as.numeric(as.character(X$Survived))	3	1
summary(df[, c('Pclass', 'Survived')])	3	3
Sex = as.factor(Sex),	3	2
table(train$Sex, train$Survived)	3	3
sapply(train,function(x) sum(is.na(x)))	3	3
summary(whole.data)	3	1
full$FsizeD[full$FamilySize >=4 ] <- 'large'	2	2
which(is.na(combi$Embarked))	2	1
titanic[,-toRm]	2	1
combi$FamilyID2 <- as.character(combi$FamilyID2)	2	2
titanic2$Child<-0	2	1
summary(fit)	2	2
"data$Age[is.na(data$Age) & data$Title=="" Miss""]<-meanMiss"	2	2
"meanDr<-mean(data_sub[data_sub$Title=="" Dr"",]$Age)"	2	2
group_by(Parch, Survived) %>%	2	1
nrow(new_titanic)	2	1
select(Survived_F, everything())	2	1
"train_full$Cabin_num[train_full$Cabin_num=='']=""-1"" #this changes all the '' cells to -1 char"	2	2
test.data3$FamilySizeCategory <- factor(test.data3$FamilySizeCategory)	2	1
combo$Fare[fare_na_index]<-mean(vec,na.rm = TRUE)	2	2
train.data3$Title <- factor(train.data3$Title)	2	1
df<-subset(combo,Pclass=3)	2	2
test.data3$Mother <- factor(test.data3$Mother)	2	1
test.data3$Embarked <- factor(test.data3$Embarked)	2	1
"mutate(Agegroup = ifelse(Age<=15,""kids"",ifelse(15<Age & Age<=60,""adults"",ifelse(Age>60,""elderly"", ""NA""))))"	2	1
train_nn$NumSex <-  (train_nn$NumSex - min(train_nn$NumSex)) /	2	2
mean(vec,na.rm = TRUE)	2	2
"paste(""AUC LM: "",auc_lm)"	2	1
full <- bind_rows(train,test)	2	2
x$ppclass[which(x$Pclass=='2')]<-.6	2	1
"my.pred[""Age"",] = 0"	2	1
traintest.data$FamilySizeCategory[traintest.data$FamilySize == 1] <- 'Single'	2	1
train_full$Cabin_num[!is.finite(train_full$Cabin_num)]=-1 #finaly all NA are turned to -1	2	2
combi$FamilyID2 <- factor(combi$FamilyID2)	2	2
test2[complete.cases(test2$Fare),]	2	2
colSums(is.na(train))	2	2
"train$Sex[which(train$Sex==""female"")]<-1"	2	2
combi[!is.na(combi$Age),],	2	2
test.data3$Sex <- factor(test.data3$Sex)	2	1
full[is.na(full$Fare),]	2	2
combi$Child <- factor(combi$Child)	2	2
train$farediv<-0	2	1
train_nn$Age <-  (train_nn$Age - min(train_nn$Age)) /	2	2
full_data$Title[full_data$Title == 'Mme']         <- 'Mrs'	2	2
"cat(""accuracy: "", accuracy, ""\n"")"	2	1
sum(is.na(train_full$Cabin_num))	2	1
test$Survived<-0	2	2
levels(test$title) = levels(train$title)	2	2
l_cabin<-length(combo$Cabin)	2	2
"my.pred[""Cabin"",] = as.numeric(colnames(my.pred) %in% cabin.regressors)"	2	1
rep(bias.y*diff(y.range),struct[val+1]),	2	1
test$Cabin_num=as.numeric(test$Cabin_num)  #the coaertion would eliminate any deck letters without numbers turning them to NA	2	2
Passenger.woman <- c('Mrs', 'Miss', 'Mme', 'Ms', 'Mlle')	2	2
data[1:891,]	2	2
corr_data$Survived <- as.numeric(corr_data$Survived)	2	2
titanic$Age[is.na(titanic$Age)]<- predict(fit_age,titanic[is.na(titanic$Age),])	2	1
combined <- rbind.data.frame(train,data=test)	2	2
Nobility.woman <- c('the Countess', 'Lady', 'Dona')	2	2
full<-bind_rows(train,test)	2	2
traintest.data$Child[traintest.data$Age >= 18] <- 'Adult'	2	1
age.data[-index, ]	2	1
dat = cbind(Y, X)	2	1
select(Sex, Survived, Parch) %>%	2	1
train_full[inTrain,]	2	2
sum(is.na(test$Age))	2	1
output = as.numeric(predict(mods[[i]], newdata = X)$posterior[,2])	2	1
got_right <- with(val_df, pred_survived == Survived)	2	1
combo$Parch<-NULL	2	2
summary(full$Fsize)	2	1
train_Pclass1 <- filter(train, Pclass == 1)	2	2
sapply(raw_train,function(x) sum(is.na(x)))	2	2
ynew = as.numeric(ynew >= mods.list$svm$cutoff)	2	1
train$Child <- 0	2	2
train$Pclass<- as.factor(train$Pclass)	2	2
"test$Survived <- rep(""None"")"	2	2
freq$frequency<-freq$n/nrow(train);	2	1
combi$FamilyID2 <- combi$FamilyID	2	2
sapply(train,function(x) summary(is.na(x)))	2	2
"trainset<-read.csv(""../input/train.csv"",header = T,sep = "","",na.strings = c(""NA"",""""))"	2	2
test$Cabin_deck=substring(test$Cabin, 1, 1)	2	2
"full_join(test_data %>% group_by(title) %>% summarise(n=n()), by=""title"") %>% print()"	2	1
full_data$Title[full_data$Title == 'Mlle']        <- 'Miss'	2	2
"data$Age[is.na(data$Age) & data$Title=="" Ms""]<-meanMs"	2	2
data=bind_rows(train, test)	2	1
final.data3 <- data.frame(PassengerId = test.data2$PassengerId, Survived = rf_prediction)	2	1
"train_nn <- raw_train[ , c(""Pclass"", ""NumSex"", ""Age"", ""SibSp"", ""Parch"", ""NumEmbarked"", ""Fare"")]"	2	2
train$Mother<- 0	2	2
my.rf = function(Y, X, newX, ...)	2	1
"test$Cabin_deck[test$Cabin_deck=='']=""MiSS"""	2	2
combo$Cabin<-as.character(combo$Cabin)	2	2
"mutate(Embarked = ifelse(Embarked == """", NA, Embarked)) %>%"	2	1
Passenger.man <- c('Mr')	2	2
"test$Cabin_num=substring(test$Cabin, regexpr(""(\\d)+"", test$Cabin),regexpr(""(\\d)+"", test$Cabin)+2)"	2	2
"data$Age[is.na(data$Age) & data$Title=="" Mr""]<-meanMr"	2	2
table(combi$Title)	2	2
combo[1:891,]	2	2
x$psex<-0	2	1
test.data3$Survived <- factor(test.data3$Survived)	2	1
sum(diag(matrizconf))/sum(matrizconf)	2	1
"combo$Embarked<-replace(combo$Embarked,combo$Embarked=="""",""S"")"	2	2
train.data$Title[train.data$Title == 'Mlle']        <- 'Miss'	2	1
survival<-titanic[which(titanic$Survived==1),]	2	1
"train$Cabin[which(!train$Cabin=="""")]<-1"	2	2
val_df[val_df$PassengerId == 503, ]	2	1
full_data$Title[full_data$Title == 'Ms']          <- 'Miss'	2	2
table(train$Child,train$Survived)	2	2
levels(test$Sex)	2	2
"cor.dat = data.table(mod.dat[,!""Cabin""])"	2	1
mod.dat[, log.Age := log(Age)]	2	1
ynew = as.numeric(ynew >= mods.list$pen$cutoff)	2	1
combo$Name<-NULL	2	2
ynew = as.numeric(predict(mod, newdata = newX))	2	1
print(head(train))	2	2
"keep.dat = c(""Survived"", gsub(""`"", """", imp.avg[value >= 0.4, regressor]))"	2	1
train_Pclass1$Fare,	2	2
ynew = as.numeric(ynew >= mods.list$gbm$cutoff)	2	1
train$Child<- 0	2	2
Nobility.man <- c('Jonkheer', 'Sir', 'Don')	2	2
"drage<-mean(train$Age[which(train$Name==""Dr."")],trim=.5,na.rm=TRUE)"	2	2
sum(is.na(train_full$title))	2	1
data[892:1309,]	2	2
mod.dat[, Age := NULL]	2	1
levels(test$Embarked)	2	2
train_nn$Pclass <-  (train_nn$Pclass - min(train_nn$Pclass)) /	2	2
train.data3$FamilySizeCategory <- factor(train.data3$FamilySizeCategory)	2	1
